Username,Comment,Cleaning
@andracornelis1463,Habis sudah kau pdip .....😅😅😅,habis sudah kau pdip
@errytfilardikh,Tim bubar grak....,tim bubar grak
@user-kz1us2th4k,No3 Ganjar 🇲🇨🇯🇴👍🇯🇴🇲🇨,no3 ganjar
@Radenriono9139,"Hitungan penuh kebohongan jadi gak perlu di tonton, buat rakyat emosi,",hitungan penuh kebohongan jadi gak perlu di tonton buat rakyat emosi
@user-if7fq7ul5r,👍👍👍✌️🙏🙏🙏,
@warismaa4611,"Tidak Usah ber tele² , kalau sudah kalah, Ya mundur teratur  Ucapkan Selamat kepada Pemenang. !  Tidak usah cari alasan, ini, itu, Esok hari lebih baik dari Sekarang. !  Prabowo.S Presiden &amp; Gibran.R.R. Wakil Presiden.R.I. 2024/2029, Selamat Bro o o ... Menempati Istana IKN. Nusantara di Kalimantan Timur.",tidak usah ber tele kalau sudah kalah ya mundur teratur ucapkan selamat kepada pemenang tidak usah cari alasan ini itu esok hari lebih baik dari sekarang prabowo s presiden gibran r r wakil presiden r i selamat bro o o menempati istana ikn nusantara di kalimantan timur
@user-kr6in2iv6h,Udah ketebak sebelum ada pemilu pihak2 sana udah bilang curang kalo kalah .lagu lama karena mereka bilang begitu gk nerima kekalahan.karena saya yakin 02 menang bener pilihan rakyat .karena saya setiap jalan2 ke desa aku tanya kebanyakan murni unggul 02,udah ketebak sebelum ada pemilu pihak2 sana udah bilang curang kalo kalah lagu lama karena mereka bilang begitu gk nerima kekalahan karena saya yakin menang bener pilihan rakyat karena saya setiap jalan2 ke desa aku tanya kebanyakan murni unggul
@user-Daffaa,Saya ini saksi PDI <br>Saya sebagai saksi aja gak di perhatiin apalagi kalok menang jadi peresiden gaji cuman 200rb  lgu,saya ini saksi pdi saya sebagai saksi aja gak di perhatiin apalagi kalok menang jadi peresiden gaji cuman 200rb lgu
@user-eu3wu4si8m,Jangan bersedih dan jangan kecewa terima aja kenyataan,jangan bersedih dan jangan kecewa terima aja kenyataan
@sityaminah3213,Amin ya slloh smga pak prabowo amanah,amin ya slloh smga pak prabowo amanah
@user-if7fq7ul5r,👍👍👍✌️🙏🙏🙏,
@salum_channel,Jangan diliat quitcon...banyak dustanya,jangan diliat quitcon banyak dustanya
@user-if7fq7ul5r,Muda mudahan  ungul terus 02,muda mudahan ungul terus
@user-jq6du3bb7b,"Kemenangan No. Urut Dua diatas 50% yg sebelumnya 11/2 jam yg lalu masih 0 suara.ketiga kontestan ini dan. Hasil perhitungan cepat yg tidak benar pasti ada yg bayar dengan melalui tangan2 hitam olah oknum2 yg tidak bertanggung jawab..hasil pemilu siapa pemenangan nya sudah ditentukan sebelum pencoblosan dimulai ini kan tidak benar karena mau diusut juga susah karena kasusnya remang2 yg dibikin tidak bisa diusut hasil pemilu nya bila dilihat waktu kampanye hasilnya sangat jauh dari hasil kampanye yg lalu jauh dibawah standar yg diinginkan yg akibatnya banyak membikin marah rakyat kebanyakan di NKRI ini.. Pemilu ini harus diulang tidak bisa ditawar tawar lagi dengan pengawasan sangat ketat dari TNI dan Polri dibantu oleh para saksi dari semua partai.. Kalau tidak rejim ini bisa quos dan tidak bisa bekerja dengan baik yg ada cuma kerusuhan2 tragedi2 yg akan membawa bangsa Di NKRI ini terpuruk kedalam jurang yg dalam yg akan membakar semuanya. Camkan itu ini hari2 yg mulai berbahaya untuk bangsa diNKRI ini.. Rakyat sudah pada pintar2 sudah bisa membaca itu benar dan itu tidak..!!!.,....",kemenangan no urut dua diatas yg sebelumnya jam yg lalu masih suara ketiga kontestan ini dan hasil perhitungan cepat yg tidak benar pasti ada yg bayar dengan melalui tangan2 hitam olah oknum2 yg tidak bertanggung jawab hasil pemilu siapa pemenangan nya sudah ditentukan sebelum pencoblosan dimulai ini kan tidak benar karena mau diusut juga susah karena kasusnya remang2 yg dibikin tidak bisa diusut hasil pemilu nya bila dilihat waktu kampanye hasilnya sangat jauh dari hasil kampanye yg lalu jauh dibawah standar yg diinginkan yg akibatnya banyak membikin marah rakyat kebanyakan di nkri ini pemilu ini harus diulang tidak bisa ditawar tawar lagi dengan pengawasan sangat ketat dari tni dan polri dibantu oleh para saksi dari semua partai kalau tidak rejim ini bisa quos dan tidak bisa bekerja dengan baik yg ada cuma kerusuhan2 tragedi2 yg akan membawa bangsa di nkri ini terpuruk kedalam jurang yg dalam yg akan membakar semuanya camkan itu ini hari2 yg mulai berbahaya untuk bangsa dinkri ini rakyat sudah pada pintar2 sudah bisa membaca itu benar dan itu tidak
@ibnusholihin5242,Saya lagi nyari tim 01 kok gk ada yaa,saya lagi nyari tim kok gk ada yaa
@hiroyukiendo2478,@Bismillahh.. semoga allah swt melinduungi capres org yg amanah eqyau yg jenius berbgai segala hal kbaikn. 🤲🤲🤲❤️❤️❤️🇮🇩🇮🇩🇮🇩😍😍🙏🙏,semoga allah swt melinduungi capres org yg amanah eqyau yg jenius berbgai segala hal kbaikn
@user-tf6ke4bo6m,"Lagu lama kalo yg kalah pasti teriak&quot;&quot; basi rakyat udah bosen salam waras satu putaran ,buat pak Prabowo ❤❤",lagu lama kalo yg kalah pasti teriak basi rakyat udah bosen salam waras satu putaran buat pak prabowo
@user-Daffaa,Ada aja yang bilang curang udah terima aja😂😂😂,ada aja yang bilang curang udah terima aja
@alissaalissa2199,Appppppaaaaaa??????? Menerima???????? Kecurangaaaaaan??? Laknatullah 😡,appppppaaaaaa menerima kecurangaaaaaan laknatullah
@pandudewanatapandu1266,Apa pun komunitas nya maupun mahasewa kalao rakyat biasa pilih Prabowo gipberan Lo mau apa,apa pun komunitas nya maupun mahasewa kalao rakyat biasa pilih prabowo gipberan lo mau apa
@user-cl9mv1eb6s,"Terima sajalah,, yang menang itu sudah di takdirkan dari tuhan,untuk apa kita ribut kan,negara kitakan negara islam terbesar di asia ,rakyat kecil yang ikut milih bukan partai2 yang menentukan presiden, sadarlah wahai saudaraku,,,, ❤",terima sajalah yang menang itu sudah di takdirkan dari tuhanuntuk apa kita ribut kannegara kitakan negara islam terbesar di asia rakyat kecil yang ikut milih bukan partai2 yang menentukan presiden sadarlah wahai saudaraku
@novitayustisia3907,"Rakyat muak dgn cara2 elit politik yg menjelek2kan pak Jokowi dan Pak Prabowo, harusnya pemilu saat ini menjadi pelajaran berharga bagi partai2  bahwa presiden pilihan rakyat berbading terbalik dgn pilihan partai.",rakyat muak dgn cara2 elit politik yg menjelek2kan pak jokowi dan pak prabowo harusnya pemilu saat ini menjadi pelajaran berharga bagi partai2 bahwa presiden pilihan rakyat berbading terbalik dgn pilihan partai
@sukiyah0636,"Saya jadi saksi aja selesainya jam1 malam  ko sudah hitung cepat , dari mana datanya , pakai akal sehat , jangan pakai otak kerbau",saya jadi saksi aja selesainya jam1 malam ko sudah hitung cepat dari mana datanya pakai akal sehat jangan pakai otak kerbau
@sanexanggi3185,JURUS TERAKHIR 1&amp;3 MULAI ULTI NOMER 2,jurus terakhir mulai ulti nomer
@pitersinagase.156,"SELAMAT DAN SUKSES BRO, TUHAN MENYERTAINYA.",selamat dan sukses bro tuhan menyertainya
@deddyzhang4105,"Hanya orang yg iri hati dgn pemenang yg dia tak suka,,,pastinya bilangnya curang.,,uda jelas paslon 01 &amp; 03 kalah telak lagi,,memalukan.",hanya orang yg iri hati dgn pemenang yg dia tak sukapastinya bilangnya curang uda jelas paslon kalah telak lagimemalukan
@eeyanahmed4055,"Lagu lama  kaset kusut keluar lagi kalah yah kalah ,,,,,,,hasilnya jeblok",lagu lama kaset kusut keluar lagi kalah yah kalah hasilnya jeblok
@UwanSuryana-ed3nl,Yg legowo dong. Kalah kalah aja jangan bikin narasi curang curang .. kami muak dngan tipu daya politikus .. masyarakat gk bakal precaya.. faktanya d lapangan memang 02 unggul d stiap tps,yg legowo dong kalah kalah aja jangan bikin narasi curang curang kami muak dngan tipu daya politikus masyarakat gk bakal precaya faktanya d lapangan memang unggul d stiap tps
@martinusdairobili1412,Saya tdk percaya dgn hitung cepat itu karena tdk dirincikan dgn lokasi TPS yg di sampel karena tps seluruh Indonesia sebanyak 820.000 lebih dan kami masyarakat ingin pada tukang survey bisa buktikan C 1 pelano kalau tdk bisa buktikan berarti ini bohong dan kalau ini bohong tangkap mereka dan adili mereka karena tukang survey ini adalah ilegal bukan legal mengapa mereka medahulukan KPU mengumumkan hasil kemenangan. Kesimpulan ini adalah HOAX.,saya tdk percaya dgn hitung cepat itu karena tdk dirincikan dgn lokasi tps yg di sampel karena tps seluruh indonesia sebanyak lebih dan kami masyarakat ingin pada tukang survey bisa buktikan c pelano kalau tdk bisa buktikan berarti ini bohong dan kalau ini bohong tangkap mereka dan adili mereka karena tukang survey ini adalah ilegal bukan legal mengapa mereka medahulukan kpu mengumumkan hasil kemenangan kesimpulan ini adalah hoax
@pitersinagase.156,"Berkat rido Tuhan via doa2 kita,  pasangan Prabowo-Gibran sdh dipastikan menang, yg lain jangan banyak cincong lagi...I ❤❤❤ you.",berkat rido tuhan via doa2 kita pasangan prabowogibran sdh dipastikan menang yg lain jangan banyak cincong lagi i you
@yessielifmi1713,Pendongrak suara 02: liat data C1 .,pendongrak suara liat data c1
@baripratama5487,Ya semoga aja ada perubahan kalau masih begini 2 aja saya sebagai rakyat cuma bisa berdoa saja,ya semoga aja ada perubahan kalau masih begini aja saya sebagai rakyat cuma bisa berdoa saja
@user-ob9wp8ts8x,Selamat dan sukses bpk prabowo subiyanto sebagai presiden Ri,selamat dan sukses bpk prabowo subiyanto sebagai presiden ri
@irfannurdin4347,"Pa, 02 itu sd pasti unggul amin.",pa itu sd pasti unggul amin
@user-sb6rm2bc3e,Mari bersatu yg menang jgn jumawa yg kalah legowo dgn terhormat,mari bersatu yg menang jgn jumawa yg kalah legowo dgn terhormat
@bangunpamuji8745,"Seno bocil masih blm bisa terima kekalahan Paslon 03 ,, Bocah masih ingusan tidak bisa memberikan bukti giliran kalah di bilang curang.. Cuma bisa omon-omon Mas Seno.. Mas Seno.. 😅😅😅",seno bocil masih blm bisa terima kekalahan paslon bocah masih ingusan tidak bisa memberikan bukti giliran kalah di bilang curang cuma bisa omonomon mas seno mas seno
@bangunpamuji8745,Aryo Seno masih bocil sok pintar politik jangan bisanya omon2 Mas Seno.. Mas Seno..,aryo seno masih bocil sok pintar politik jangan bisanya omon2 mas seno mas seno
@animasichanel212,1 putaran lebih baik menghemat anggran negara saya tetap yakin 02 menang ingat kata guru besar gusdur,putaran lebih baik menghemat anggran negara saya tetap yakin menang ingat kata guru besar gusdur
@user-kz1us2th4k,No3,no3
@helsaannisa9341,Di lmpng orang merantau g blh milih,di lmpng orang merantau g blh milih
@MohIbnuAthoillah-mi5qu,"Demi keamanan yg kalah hrs mau mengakui kekalahannya ,,,bagi pasangan no 2 kami ucpkn selamat...smoga nntnya bisa mbawa perubhn untk negeri yg kita cintai ini",demi keamanan yg kalah hrs mau mengakui kekalahannya bagi pasangan no kami ucpkn selamat smoga nntnya bisa mbawa perubhn untk negeri yg kita cintai ini
@sodikkin9432,Kami pendukung 02 kami maapin tim ganjar mahput tingal 01 belum minta maaf kami tungu,kami pendukung kami maapin tim ganjar mahput tingal belum minta maaf kami tungu
@ReniEkawati-of3pf,Prabowo tiru ilmu jokowi iadi org sabar aja pasti menang kalo jadi megawati yg suka menghina hina ya kalah ye 😂😂,prabowo tiru ilmu jokowi iadi org sabar aja pasti menang kalo jadi megawati yg suka menghina hina ya kalah ye
@user-tj5ei3rl5n,Indonesia maju,indonesia maju
@user-yo4uo4tm4n,Syukur alhamdulillah 1  putaran ✌🤲🙏,syukur alhamdulillah putaran
@user-px8ym8fo6s,Alhamdulilah. Selamat bapak Prabowo satu putaran,alhamdulilah selamat bapak prabowo satu putaran
@Banihasyim-hi1vq,02 pasti menang.,pasti menang
@user-rr9wm6xo7n,Kasian 😂 no 1 malu gak,kasian no malu gak
@armyindo951,Bit bangai yang pileh Prabowo,bit bangai yang pileh prabowo
@aisyaabas,"Sdh jls prabowo menang, selamat presiden baru",sdh jls prabowo menang selamat presiden baru
@user-gj2hc4qv1h,"Hhhhhhh selamat prabowo menjadi persiden RI 2024 <br>Pertandingan itu ada  kala ada menan ,, kalau dikala sukuri aja",hhhhhhh selamat prabowo menjadi persiden ri pertandingan itu ada kala ada menan kalau dikala sukuri aja
@annalove3362,Alhmdullh 02,alhmdullh
@abidompu5749,Tapi rata-rata quick count sama real count dari KPU sedikit salahnya dari tiap pemilu. Ya bisa taulah yg bakalan menang siapa😂😂😂,tapi ratarata quick count sama real count dari kpu sedikit salahnya dari tiap pemilu ya bisa taulah yg bakalan menang siapa
@user-jae982,Semoga menang 2 prabowo,semoga menang prabowo
@primuskefi8,🎉🎉🎉,
@abduhamrie6262,"Ketika Bp Jokowi menghadiri acara “Sarang Berzikir untuk Indonesia Maju” KH. Maimun Zubair (Mbah Moen) Pimpinan Pondok Pesantren Al-Anwar, Rembang Jawa Tengah diminta membaca do’a untuk kemenangan Bp Jokowi dalam Pilpres di tahun 2019 melawan Prabowo saat itu. Namun apa yang terucap dalam do’a beliau itu? Justru mendo’akan Prabowo menjadi Presiden. Semua yang hadir pada waktu itu tersentak mendengar do’a beliau, sebab yang datang bersilaturrahmi adalah Bp Jokowi, justru yang terucap adalah Prabowo menjadi Presiden. Tetapi ternyata Bp Jokowi juga yang terpilih sebagai Presiden untuk ke-2 kalinya. Bagi seorang Wali Allah apa yang terlontar itu memberikan isyarat kepada kita, barangkali do’a beliau itu bukan untuk tahun 2019 tetapi untuk tahun 2024 ini. Sehingga tidak ada yang salah dengan do’a beliau tersebut, justru beliau memberikan isyarat kepada kita bahwa maksudnya Prabowo akan menjadi Presiden RI setelah Bp Jokowi, namun kita tidak tahu dengan isyarat beliau itu. Wallaahu A’lam..",ketika bp jokowi menghadiri acara sarang berzikir untuk indonesia maju kh maimun zubair mbah moen pimpinan pondok pesantren alanwar rembang jawa tengah diminta membaca doa untuk kemenangan bp jokowi dalam pilpres di tahun melawan prabowo saat itu namun apa yang terucap dalam doa beliau itu justru mendoakan prabowo menjadi presiden semua yang hadir pada waktu itu tersentak mendengar doa beliau sebab yang datang bersilaturrahmi adalah bp jokowi justru yang terucap adalah prabowo menjadi presiden tetapi ternyata bp jokowi juga yang terpilih sebagai presiden untuk ke kalinya bagi seorang wali allah apa yang terlontar itu memberikan isyarat kepada kita barangkali doa beliau itu bukan untuk tahun tetapi untuk tahun ini sehingga tidak ada yang salah dengan doa beliau tersebut justru beliau memberikan isyarat kepada kita bahwa maksudnya prabowo akan menjadi presiden ri setelah bp jokowi namun kita tidak tahu dengan isyarat beliau itu wallaahu alam
@user-wd7qr2wl9h,Seberapa kuat Prabowo akan memimpin negeri ini ... Kita lihat nanti...salam NKRI,seberapa kuat prabowo akan memimpin negeri ini kita lihat nanti salam nkri
@user-kz1us2th4k,No 3👍,no
@user-rl2zs5kp4z,Kalimantan barat sangat unggul dukung pak Prabowo Subianto...,kalimantan barat sangat unggul dukung pak prabowo subianto
@user-rl2zs5kp4z,Selamat pak Prabowo Subianto..tuhan pasti buat anda menag,selamat pak prabowo subianto tuhan pasti buat anda menag
@haerulakbar205,Aku tak peduli siapa pun wakil nya yang penting prabowo prediden nyaaaaa,aku tak peduli siapa pun wakil nya yang penting prabowo prediden nyaaaaa
@user-kz1us2th4k,No 3🇲🇨,no
@user-rw9wu7vs2p,"omongan&#39;e wong kalah yo ngono kui, mesti ngomong&#39;e ono kecurangan 😂",omongane wong kalah yo ngono kui mesti ngomonge ono kecurangan
@ivanuseless7775,"Alhamdulillah 1 putaran, Prabowo gibran presiden",alhamdulillah putaran prabowo gibran presiden
@primuskefi8,🎉🎉🎉✌️✌️✌️,
@user-oh8up4hm2x,Jimi hantu untuk kacang ijo,jimi hantu untuk kacang ijo
@SUPRIADISUPRIADI-wl2wi,DULU ITUKAN ULAH DARI ORANG YANG MERASA PALING BERKUASA DI NEGARA INI DAN MERASA PALING BERJASA SAMA NEGARA INI ORANG LAIN YANG BENAR-BENAR BEJUANG SEPERTI JENDRAL SUDIRMAN TIDAK DI ANGGAP SAMA MEREKA,dulu itukan ulah dari orang yang merasa paling berkuasa di negara ini dan merasa paling berjasa sama negara ini orang lain yang benarbenar bejuang seperti jendral sudirman tidak di anggap sama mereka
@helnifrista2910,"masih saja tidak mau menerima, ga usah bertarung bos kalau ga siap untuk kalah.<br>rakyat sekarang udah cerdas, jadi udah bisa saring informasi2 yang masuk akal...",masih saja tidak mau menerima ga usah bertarung bos kalau ga siap untuk kalah rakyat sekarang udah cerdas jadi udah bisa saring informasi2 yang masuk akal
@user-kz1us2th4k,No 3,no
@user-ru3ch2zf5g,Lampung 97% prabowo,lampung prabowo
@muksinalatas9361,udah kalah harus legowo jangan gak mau kalah malu sama rakyat indonesia yang sudah memilih Prabowo gibran,udah kalah harus legowo jangan gak mau kalah malu sama rakyat indonesia yang sudah memilih prabowo gibran
@kkzx1922,Tak jelas hitungan kpu pusat.. nyatanya di 29 propinsi TPS pak Anies unggul knp bisa kalah..klau tk curang di kpu pasti menang pak Anies,tak jelas hitungan kpu pusat nyatanya di propinsi tps pak anies unggul knp bisa kalah klau tk curang di kpu pasti menang pak anies
@SUPRIADISUPRIADI-wl2wi,ada ada aja alasannya kalau udah kalah silahkan kita sama-sama menerima dan yang membuat negara ini jadi kesro akibat opini-opini yang tak menerima takdir dari ALLAH,ada ada aja alasannya kalau udah kalah silahkan kita samasama menerima dan yang membuat negara ini jadi kesro akibat opiniopini yang tak menerima takdir dari allah
@abidompu5749,Pak gemoy presiden ku❤,pak gemoy presiden ku
@niswatin20,"Saya memilih pak Prabowo Subianto sejak pertama ikut pilpres, bukan karena bansos..krna saya tidak pernah dapat bansos tapi dari hati nurani saya sangat pantas memimpin negara ini, saya juga ikut nonton saat petugas TPS menghitung, di TPS tempat saya se RT, Ganjar dapat 11, Anies 66 , pak Prabowo kurang lebih 164 , dan TPS yang lain juga pak Prabowo menang telak",saya memilih pak prabowo subianto sejak pertama ikut pilpres bukan karena bansos krna saya tidak pernah dapat bansos tapi dari hati nurani saya sangat pantas memimpin negara ini saya juga ikut nonton saat petugas tps menghitung di tps tempat saya se rt ganjar dapat anies pak prabowo kurang lebih dan tps yang lain juga pak prabowo menang telak
